tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
MASTER,I,WnINi6H9EvBxBkE7rQFqGzAQTfqNC9gfQSqr8da5fnBm_w,PANZER METO,22,23,11,False,False,True,True,buPHdSmfgW2yRKuXnivB88aH_JWsrVNWqEB24SovAqMjc82wsV98-VDk9AZKCv1HIvdNoOkQkhVROA,tr1
MASTER,I,fHSy8GqN9HuG7FehpPbzljB7W3H5cmQ6wqmjR-50crCIKKs,Nagînî,2,34,31,False,False,True,False,1jTWKLMGPHnDSHuKfZJaA2AAFnxHe4LmuOwa5aK2IlceqQK-iJeZFLUwhGvgdwsWCcXkjA0WktCbCQ,tr1
MASTER,I,-W_gFD8NYXf2b4Oh9IU-Dis3eqBkPQQbUonc-0LGMV4gahpd60d6vhbCFg,Master 9x,43,35,27,False,False,True,False,u3NcYDs6RkHtPzsHBy-zeicBgTCiIV82ckiZBzDdco7Fx-AZHeNuhbd90bUFW9aXx716RgKxGY7GNw,tr1
MASTER,I,iAB-u85Dq61ObRh39XgMK_O3VMtewiDNyVdjaJKsAkGp6A,Avalanché,45,38,32,False,False,True,False,JnsD8KYmYSungIhO0s7el9drCR8sVadiH9eCOg3O_q2Mp_Kc-BMhsoYiZTKRywbrFdCC-usy_p7M4Q,tr1
MASTER,I,a3n3DaI1Tz0TnInWmbMpkRz-zPRz8tbIj_LHIm98gpvMs-A,Devon Laratt,19,25,24,False,False,True,False,ND9CxtIAqtSC91ZZXXXKP2Be7_hWmUzLUHrSZuR5wt_AjaF1dDb0dES2UuK03Jk-cr9Xbbm6k8cl2g,tr1
MASTER,I,-ZHSjPvukAYMAD4B-18aQf8VJ-obwWhjYYPSmPLEa0zIeg,BACK9,36,21,8,False,False,True,False,Le2LkXiLbO6FRXllMdKCbmrmyBHsfg3kWEK525t7PIrfKbc_Gy2AtREHgvxJybVtyH7JcenZNDFnww,tr1
MASTER,I,6UTFv2o9HY0NdOoZoiVoc5Cd_udtzqQiLT9gn_M3oRDIuZ4,Ünili oldum,40,45,33,False,False,True,False,1Vw6eJ55J1UQXL0tarYkxMI3S5xe_FEW3n0IqcFXhpB7lB7GwNKR_QQpVZBE9lE3pB7P5oEkcalBQA,tr1
MASTER,I,rRvQ0G5QlKkgEkkbbFiW_jD441Mcj7wpF0T0aR7DblEpgg,Schutzbrillen,1,48,45,False,False,True,True,DohP5Qs-KA5rmSdjtZygE06zdQDtrHvfbH_GubGjrBIipD8iGN4d72d7057zcgxRefft5oUy_SdBRw,tr1
MASTER,I,tFEfwMMtudJ6961f5MPcr-qcfUrWC7o3XUff6tIzVM8lOzk,UNGOLİANT,0,69,47,False,False,True,False,IEOqk9Q3YMa69Qj0xtwoYxmUnPRcjl95PY5IVG4sjY5xecylrB4Ux6iLln9GXnlQd1nCnc9jH0wfgw,tr1
MASTER,I,GSQKGfxM-6y5r728joPAsLvzhjtv6Sb-P0DdXA4N5syOQg,Dellen,24,25,14,False,False,True,False,4tPpeKdl_-8Mx6sWeLqEFS-PLyVmgRPgmFW8aDPerVm2BeJ3SRBkmexXH-FZd1ylrtWeANvXDfsr5w,tr1
MASTER,I,Scm4QcahZmpzW6NkGPTpANct3Os-y-BjV6SrtfvNPlZM-9A,Euzuro,21,23,18,False,False,True,False,s7dGMFHUjELlStjtOKYOVoMF4DqWTzEgE89W1QXGkVDtL1J10DI2KRK0_UKPuiwpFfO-bEpEJGieFA,tr1
MASTER,I,sXHWVv06HP4kUB2GSXs6kVcHqbtiZlWDjaUdt8NR0d6EJwZDtilKKs9L2g,Rodblac,30,26,20,False,False,True,False,88noYHfKc42IRfUg9Z4KFI4wBm8S6uhTKIgU6pD2daKY_aTKG0oxbRtWC90nqXESxUFic2Mn85Z0Iw,tr1
MASTER,I,QacrCnwgXOnFxYWXkj3E6XUqpTSgGialVbCZLjf7QogtzA,Silenthaven,1,19,10,False,False,True,True,SPz9wZN38kzLlmjGqSkm9UMGTxXsCIxURmTQpHgBYzl8tw7I30SX-orGhAg-Ef0yS4T79dBEBB0okg,tr1
MASTER,I,J7VCG9EnGDiKtoFvFbGvR-GjgvDnVf3GptiNVLoHVq-xxKIPZST0BHBuJQ,lurkz fanboy,1,18,6,False,False,True,False,PesW9UudHeJbSOHXNsOr6d-5IwJ9Pl5mIDc7Jw9sRPQw1iUnGkQnp4YRoXr9WxplzxyBom_73lzPvw,tr1
MASTER,I,WqqZbhbBH3kbVw-oym4HcSV8F0b4hAab6r6rniKoZUygOis,Ousen,109,28,16,False,False,True,False,E9Lf9c3m6ApRWd8C4395lKPNBWmSnAXVYBA7BjsotTb4FCYgRVRFAuEoAD6Pk1QQ6MxE-ak0Gvro8Q,tr1
MASTER,I,SQnXB2KH-1iuhP0f9Ej6E3-TDiSZlop4IucFSLMINKHlU90,Npc Feel,36,37,38,False,False,True,False,5Z232E5RTm0QQTK6KkAYasCYdjtP3nxTvxkxjjQ7-BnkMqbY9Fw1Kml8lV60ZrPqoVCC-VZ8RwN7tg,tr1
MASTER,I,HFRJA7OP_mvJnY3RgTd1TbpVsi6CMKD7EQLmmmu2mWbVdNSapypzML_dgw,afraid oƒ satan,0,17,11,False,False,True,False,GN2uzQ-swLFOn8Dk_sbyWp5kmXLUvpaTMAijWPhhW4wldXivIEzRE5uJ9tvQarwuZ_xC2CAAHv3kOg,tr1
MASTER,I,GMvpG4Q7-WIMQKQc2cNukWUEaPqbPNqvZzAYuALroFLA-A8,Embrace ur Zed,158,42,36,False,False,True,False,x-VK6_-HXU0Ri_OZc_xr6c2goulIzv-5g7aXlNIC4lc85zzpnOsER4sCHmF8McD8Uctp0iSVTdQKiQ,tr1
