tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
MASTER,I,ObJfOTMV0fa0RFdU5OoXYEXZPE3jTdJDd3ejSXoMfik4O2c,EPSILON PHOENIX,0,29,20,False,False,True,False,yMoLG7qe_XQpW0UinVLZRJCF5ammwHckgENLI28DE0TnXWVoTWiEvgzYwvT45gnOwpVnrMnZ5_BS8Q,la1
MASTER,I,x2UM6qEBLrN7J-h5BRYWpiHF9FlLOrNuFIQwdZKc201V,Lovev,58,31,31,False,False,True,False,qP702g05wHpFVu0vXzkjtsnO-fYAyOtMQqN73OAB5PAPaQkfd7cCF5hGJRNS6VRMDPJaJeIw9NwMhg,la1
MASTER,I,MBlJUWHoRSVgA4Z_boJ5YghxQSI_D9cyuNKi4JnmAVSKhw,MLP RainbowDash,1,33,27,False,False,True,False,F4XYd2C5Kofwqc2TXPr0uO4tMbXGDpWHvFQof0eYCxxais2EbqQTjAOpTLayuFczAgvsCqFIn5mXoQ,la1
MASTER,I,k3DDLcGeegxKmLkjZS2LgNxBeqqknujUJZvtkxmemZeuj7Y,Serafin,1,19,8,False,False,True,False,fgS-zI0370RGOVNsdINMUjfqLq2rm7ugqkgnI4KHUCGTa9DaSF1udLp5fRHYCN9bN84K-sgBlJYQaQ,la1
MASTER,I,RR65LJVAp0mzmsytQ7elypsZmHfeqhhQ8UPEs3-VT6AVE38-8GpSC1iEbQ,Amenctor,100,41,39,False,False,True,False,_f6wev2FPvfqrA6sWyCslfxDBro0H5tEVvF6FRTnTMMgw4Gq6elbpuXcshQc06lTqo9Zt9S4dRfqAQ,la1
MASTER,I,yMNV_qX9UswDG5oJc7C_hsdlaYIywhKW9tPlEknVwf4aX5E,Seiked,114,57,45,False,False,True,True,A4IeXFkotCWlaiWVFZy2HjesGO8b3wHgPFdEjw7MZkBrzUlhQ7opy_vP1k21veX1HuY0PNyysEOibA,la1
MASTER,I,EF4E--LVXkfl5HXAgdtIrvVuwDN3FDbqd_FWZxr4TBrLgA,Prince Mike,0,39,32,False,False,True,False,VBVMvyHLCQcBL2ziIf4Z1Hb4EPrEVNF22dQnP_C3vEUibSRbhLwhUkJ1u2jJwd8i89vZjIWADNaP4w,la1
MASTER,I,1HxOo5ft_osh20McD9PLK-bF2srvIpd62zbX_2qBQCYJvg,DoomwaR,1,37,33,False,False,True,False,TtY458UOKAff5AZkhZD_FeM5rp9SG5HUIBCnifD73wKRG1AoLpvg5AiOreBFQvpHooHjaaRmh2vn3w,la1
MASTER,I,oM4F2CScZKJtIX6_qeiRUU4O8uLukKcgfZE-VHiZGvY-HOE1VrFYBkx-bA,Eugeo de Demacia,143,82,64,False,False,True,False,oWZklY9S5WSeXv23wdsQD_L3elhRj4AB0Mbr7BkfQRxIsQGH1yQFu2q4WjW_xfAVwhw867lbCaKmhQ,la1
MASTER,I,8WFETDFbrdNc0f7OTVcqZQqYCU5Z-dsOqr3Czhrei5pAQWs,KY55,85,34,20,False,False,True,False,gbGwWriLV9T9HRoYZB1u0l59yiar6rFcLp-FnVPq7YezQRWEh0f0bsYVftGOM5bbKq65x-NlfVxuaQ,la1
MASTER,I,ryyDvj9-YRDRCQrA42QY_v2fLTTNMnn6NrrTd5Obrdsg,Vladílena Milizé,95,36,24,False,False,True,True,n2cCi96HVuaiozQ8FMwCO1E3KCDJNraqqKR7WpMVxxXi1p5DkL_qHnr2KrJQTwpRMODEoQwd1L_5cA,la1
